pair_index,pair_file,method,num_correspondences,putative_inlier_ratio,rotation_error_deg,translation_error,success,runtime_seconds,effective_rank,regeneration_updates,regenerated_correspondences
204,pair_204.npz,sagereg_regen,2000,0.8735,0.133481952732164,0.1912645469767923,True,0.8981894739990821,1.894241295268132,6.0,24150.0
205,pair_205.npz,sagereg_regen,2000,0.6795,0.1550710686650942,0.2083153989857309,True,0.8936670889961533,1.3646150838511193,5.0,23410.0
206,pair_206.npz,sagereg_regen,2000,0.9345,0.1139293580528544,0.1055686191798446,True,0.9190441519967862,1.8390561129936769,4.0,26073.0
207,pair_207.npz,sagereg_regen,2000,0.906,0.0795809306594251,0.0855923557031418,True,0.9245412949967432,1.6133563185777076,4.0,27153.0
208,pair_208.npz,sagereg_regen,2000,0.7015,0.1534167132647588,0.166910603097121,True,0.9068714280001586,1.4364353409142536,6.0,26103.0
209,pair_209.npz,sagereg_regen,2000,0.373,0.1192936758112028,0.1659281061416797,True,0.9158340789981594,1.6105215359512233,5.0,28538.0
210,pair_210.npz,sagereg_regen,2000,0.538,0.151035991041348,0.086349396691934,True,0.94173950700133,1.892413484552396,6.0,33406.0
211,pair_211.npz,sagereg_regen,2000,0.8865,0.1101038324030723,0.0935337536682487,True,0.9553109039989068,1.9603415234732449,6.0,35807.0
212,pair_212.npz,sagereg_regen,2000,0.531,0.1021621585943628,0.0341669182254512,True,0.957542594998813,1.94386267633458,5.0,37011.0
213,pair_213.npz,sagereg_regen,2000,0.6625,0.128681048929916,0.0341864427714612,True,0.9581574950025242,1.8703955403667063,6.0,35943.0
214,pair_214.npz,sagereg_regen,2000,0.5645,0.1108494365486148,0.1605262978311079,True,0.8998481370035734,1.7615549856308403,6.0,27625.0
215,pair_215.npz,sagereg_regen,2000,0.9245,0.3271716861756013,0.1315023890295668,True,0.877129338998202,1.4906607986554323,5.0,21681.0
216,pair_216.npz,sagereg_regen,2000,0.7155,0.1453095179609267,0.0345313880918369,True,0.8793578299992078,1.863099989043792,5.0,25029.0
217,pair_217.npz,sagereg_regen,2000,0.1215,0.6552144368426881,0.0985267357067932,True,0.8583219050015032,1.735012356691212,6.0,30349.0
218,pair_218.npz,sagereg_regen,2000,0.287,0.2603026901851685,0.1201492572977308,True,0.905114417000732,1.7758259678404462,5.0,31204.0
219,pair_219.npz,sagereg_regen,2000,0.8995,0.1019502518223204,0.0989218349970184,True,0.9407406280006398,1.9661655948111616,5.0,29237.0
220,pair_220.npz,sagereg_regen,2000,0.691,0.1769817835228118,0.0479878526698998,True,0.951084708001872,1.8320309640486216,5.0,28734.0
221,pair_221.npz,sagereg_regen,2000,0.837,0.0236139049815873,0.0977191956297296,True,0.938887551001244,1.8132776822438648,6.0,29095.0
222,pair_222.npz,sagereg_regen,2000,0.7785,0.1001144964077165,0.0486775733123497,True,0.9239195539994398,1.896354773910044,6.0,27037.0
223,pair_223.npz,sagereg_regen,2000,0.623,0.1563074551821021,0.0630333987101642,True,0.88109217300007,1.5279006525826964,4.0,26012.0
224,pair_224.npz,sagereg_regen,2000,0.5165,0.1280157452172718,0.0773293465147063,True,0.9909211180020066,1.9469033409438363,6.0,34545.0
225,pair_225.npz,sagereg_regen,2000,0.564,0.2107115470032864,0.2832956605181715,True,1.021443088000524,2.040317082940514,6.0,33509.0
226,pair_226.npz,sagereg_regen,2000,0.844,0.3312616983459979,0.0635062454917325,True,0.9434685740015992,1.6980781722746885,6.0,30973.0
227,pair_227.npz,sagereg_regen,2000,0.922,0.2398707947097172,0.1824683846672047,True,0.948817238000629,1.9789751230198205,5.0,28243.0
228,pair_228.npz,sagereg_regen,2000,0.7115,0.1990372427235386,0.2316158195053056,True,0.9872713409968128,1.9080377282601528,6.0,27035.0
229,pair_229.npz,sagereg_regen,2000,0.9685,0.1344642009486481,0.0599325212520157,True,0.9077178510015074,1.7995159342071736,4.0,25466.0
230,pair_230.npz,sagereg_regen,2000,0.6855,0.1745570292887612,0.2843391528568644,True,0.8662339680013247,1.6139574990938723,6.0,22699.0
231,pair_231.npz,sagereg_regen,2000,0.966,0.0541882651591648,0.024718025468862,True,0.8406915010018565,1.705500220250031,3.0,19230.0
232,pair_232.npz,sagereg_regen,2000,0.9575,0.0590068111028149,0.0753987142051229,True,0.8605017959962424,1.625797852404444,4.0,20779.0
233,pair_233.npz,sagereg_regen,2000,0.9025,0.237545321407915,0.1137581175788286,True,0.9043530069975532,1.8977404373385571,6.0,22661.0
234,pair_234.npz,sagereg_regen,2000,0.946,0.4076652014573952,0.1393843192309688,True,0.8503518070028804,1.554082085815294,4.0,21510.0
235,pair_235.npz,sagereg_regen,2000,0.9835,0.216163616166694,0.0772365297307582,True,0.8305097039992688,1.5650569995690595,3.0,21069.0
236,pair_236.npz,sagereg_regen,2000,0.8365,0.3172881760525556,0.2619173765866662,True,0.905314019000798,1.5160519456613937,5.0,21470.0
237,pair_237.npz,sagereg_regen,2000,0.968,0.1890937927233414,0.1936978780007469,True,0.9311602640009368,1.527796768732372,6.0,22263.0
238,pair_238.npz,sagereg_regen,2000,0.8075,0.2324785361363938,0.3095434959182493,True,0.9466744830024254,1.855552039907761,5.0,24754.0
239,pair_239.npz,sagereg_regen,2000,0.918,0.1602616047035633,0.1886460303804821,True,0.9678000799976872,1.752311984148863,6.0,25987.0
240,pair_240.npz,sagereg_regen,2000,0.6715,0.0808057454065859,0.4564660374961795,True,0.9292965919994458,1.6901112658862327,5.0,21971.0
241,pair_241.npz,sagereg_regen,2000,0.9395,0.2284446256135298,0.1204634369848746,True,0.8836795289971633,1.5101374630688842,6.0,19562.0
242,pair_242.npz,sagereg_regen,2000,0.7895,0.3661444696752877,0.2866612838887507,True,0.8993687360016338,1.6358292229352862,6.0,21786.0
243,pair_243.npz,sagereg_regen,2000,0.7335,0.2423312146775703,0.2570771920902751,True,0.8893556660004833,1.7838639932867282,6.0,22965.0
244,pair_244.npz,sagereg_regen,2000,0.9655,0.2225012573517111,0.0507625080200735,True,0.875413302997913,1.5240692139024192,5.0,19403.0
245,pair_245.npz,sagereg_regen,2000,0.762,0.1060198797660307,0.3171838996760722,True,0.8406951269971614,1.6494010859091537,2.0,19043.0
246,pair_246.npz,sagereg_regen,2000,0.97,0.2489627155247381,0.1444376485239084,True,0.8888161260001652,1.5317662394208962,6.0,21126.0
247,pair_247.npz,sagereg_regen,2000,0.8755,0.1287252781175699,0.2968777353586974,True,0.932181986001524,1.8003129072630264,6.0,24125.0
248,pair_248.npz,sagereg_regen,2000,0.6415,0.1620398377629882,0.3540273312671243,True,0.9491124990017852,1.8040850839883744,6.0,25343.0
249,pair_249.npz,sagereg_regen,2000,0.9345,0.1476756248029559,0.1464179190838717,True,0.931457901999238,1.602267992429738,5.0,22754.0
