pair_index,pair_file,method,num_correspondences,putative_inlier_ratio,rotation_error_deg,translation_error,success,runtime_seconds,effective_rank,regeneration_updates,regenerated_correspondences
317,pair_317.npz,sagereg_regen,2000,0.106,0.0534334726035359,0.0023218261810849,True,0.9128929830003472,1.8214042801973025,4.0,33737.0
318,pair_318.npz,sagereg_regen,2000,0.0615,0.1277528525920435,0.0471022968636107,True,0.8605910629999016,1.8142125252325672,4.0,33351.0
319,pair_319.npz,sagereg_regen,2000,0.0605,0.1251737910748597,0.0220693735932917,True,0.8525133170001027,1.5411075549677815,4.0,34513.0
320,pair_320.npz,sagereg_regen,2000,0.032,0.1305156788087015,0.0072223918143624,True,0.8511134489995129,1.430690334841629,5.0,33688.0
321,pair_321.npz,sagereg_regen,2000,0.033,0.1535257694052441,0.0239316402725513,True,0.8463517459999821,1.374115822568174,5.0,30761.0
322,pair_322.npz,sagereg_regen,2000,0.045,0.2137419435450326,0.066242653914818,True,0.8146530069998335,1.915716971621189,4.0,33822.0
323,pair_323.npz,sagereg_regen,2000,0.0195,0.0361438635590949,0.028253963275561,True,0.8768316050000067,1.826459401974579,6.0,41205.0
324,pair_324.npz,sagereg_regen,2000,0.0085,2.0244116180276497,0.5358613734256275,True,0.9121026200000416,1.2065469541700649,6.0,49977.0
325,pair_325.npz,sagereg_regen,2000,0.004,6.848640585990649,0.7487117046608277,False,0.8310923989997718,1.028275340345948,6.0,46839.0
326,pair_326.npz,sagereg_regen,2000,0.0035,11.456445715183822,9.64500495191913,False,0.832291468999756,1.3705326216597349,6.0,42619.0
327,pair_327.npz,sagereg_regen,2000,0.005,1.3303536693411278,0.5721680789746747,True,0.9593257709998396,1.627603867670393,6.0,58514.0
328,pair_328.npz,sagereg_regen,2000,0.001,7.94898792809491,9.103351738177446,False,0.8039498079997429,1.2900192725886095,5.0,40557.0
329,pair_329.npz,sagereg_regen,2000,0.0005,8.19792786749744,9.508788800516667,False,0.8109857579997879,1.4642802393137,6.0,40806.0
330,pair_330.npz,sagereg_regen,2000,0.0015,4.465564427431806,9.079257426368732,False,0.8307233389996327,1.6308193014536974,6.0,41200.0
331,pair_331.npz,sagereg_regen,2000,0.001,8.327500416715603,9.189176919613216,False,0.8878159350001624,1.7162816394107931,6.0,41393.0
332,pair_332.npz,sagereg_regen,2000,0.0025,5.33816321112837,5.823606593057889,False,0.862247871999898,1.3235666134987532,6.0,43508.0
333,pair_333.npz,sagereg_regen,2000,0.0115,8.169716385784167,8.743337195670707,False,0.8550351579997368,1.4232461439583863,6.0,35624.0
334,pair_334.npz,sagereg_regen,2000,0.0105,5.621328001979555,7.407857328642926,False,0.8315622949999124,1.2443761899125665,5.0,32567.0
335,pair_335.npz,sagereg_regen,2000,0.02,0.0618636831328353,0.0373716844481465,True,0.8601303640002698,1.2894971095913366,6.0,35367.0
336,pair_336.npz,sagereg_regen,2000,0.061,0.0954576556990258,0.0301038110739645,True,0.8152150380001331,1.629751148457078,4.0,28943.0
337,pair_337.npz,sagereg_regen,2000,0.0665,0.1321183718210106,0.024938865822205,True,0.7911648540002716,1.721125966106973,3.0,30314.0
338,pair_338.npz,sagereg_regen,2000,0.0875,0.0490832584963706,0.0224513442074286,True,0.7995979269999225,1.5193947429506045,4.0,30861.0
339,pair_339.npz,sagereg_regen,2000,0.043,0.0737219616597035,0.025517859201016,True,0.7656588069999088,1.4916882254504245,4.0,27411.0
340,pair_340.npz,sagereg_regen,2000,0.081,0.0363165906579736,0.0245546692671241,True,0.7775983270003053,1.6990371416009549,3.0,27509.0
341,pair_341.npz,sagereg_regen,2000,0.087,0.0772231503914004,0.0152498431044284,True,0.8111804549994304,1.3859060093828377,5.0,27504.0
342,pair_342.npz,sagereg_regen,2000,0.043,0.1162679217517233,0.033075354802203,True,0.7999466329997631,1.293832296740959,6.0,27618.0
343,pair_343.npz,sagereg_regen,2000,0.0705,0.0874490263408024,0.0201134650868541,True,0.8066957350001758,1.6038852774150945,4.0,29884.0
344,pair_344.npz,sagereg_regen,2000,0.098,0.1580632127287921,0.0253779008851394,True,0.856037020000258,1.5041240891796577,6.0,30944.0
345,pair_345.npz,sagereg_regen,2000,0.084,0.2090586378743532,0.0195165972911765,True,0.7601664459998574,1.4347325228925851,4.0,26395.0
346,pair_346.npz,sagereg_regen,2000,0.07,0.0989719586848042,0.0124083158749748,True,0.7830041340002936,1.4346322757889454,6.0,25902.0
347,pair_347.npz,sagereg_regen,2000,0.07,0.0613762722927678,0.017307748521412,True,0.7868493790001594,1.463603023630066,6.0,27029.0
348,pair_348.npz,sagereg_regen,2000,0.073,0.1313574997087666,0.0230808924704271,True,0.7243650850000449,1.0982941871440648,4.0,24308.0
349,pair_349.npz,sagereg_regen,2000,0.062,0.0900297015982014,0.0196918540450455,True,0.7653707710001072,1.4698878230305918,6.0,27194.0
350,pair_350.npz,sagereg_regen,2000,0.078,0.1291502743723379,0.0226823733197468,True,0.8013789100000395,1.6465746251267936,4.0,26841.0
351,pair_351.npz,sagereg_regen,2000,0.1215,0.0946855098175914,0.0206432107013963,True,0.7809335919996556,1.3784764413238464,3.0,25660.0
352,pair_352.npz,sagereg_regen,2000,0.098,0.1040924565481044,0.0298582918502387,True,0.751418248000391,1.2855240768213343,4.0,23883.0
353,pair_353.npz,sagereg_regen,2000,0.087,0.0863424898705718,0.0132192433017193,True,0.8000533990002623,1.33676106189916,6.0,23994.0
354,pair_354.npz,sagereg_regen,2000,0.1415,0.0425173822430856,0.0218737298803049,True,0.7706269850000353,1.4268233876080016,2.0,23088.0
355,pair_355.npz,sagereg_regen,2000,0.1185,0.0828009989819421,0.0210788240777,True,0.7533342820001963,1.4317726527122605,4.0,23534.0
356,pair_356.npz,sagereg_regen,2000,0.099,0.0833178914828756,0.0266457382821574,True,0.7714669540000614,1.4075804559744909,5.0,22566.0
357,pair_357.npz,sagereg_regen,2000,0.047,0.0884927703630716,0.0211907307841165,True,0.7775576589997399,1.413099610487415,5.0,24239.0
358,pair_358.npz,sagereg_regen,2000,0.0525,0.0945830327253481,0.0053470764308628,True,0.7838582419999511,1.765919074042671,6.0,25572.0
359,pair_359.npz,sagereg_regen,2000,0.1,0.0351061268493761,0.0392288421126367,True,0.7731315099999847,1.3904989459915904,3.0,25381.0
360,pair_360.npz,sagereg_regen,2000,0.081,0.0503853457726332,0.019583360209665,True,0.7883032889999413,1.5745798385663647,4.0,25685.0
361,pair_361.npz,sagereg_regen,2000,0.0945,0.071807315842748,0.006189762367084,True,0.751125327000409,1.5352557455746565,3.0,23638.0
362,pair_362.npz,sagereg_regen,2000,0.0835,0.1774546732414429,0.0294007874544217,True,0.7487516889996186,1.6457621768645885,3.0,23690.0
363,pair_363.npz,sagereg_regen,2000,0.0835,0.1049797881339799,0.0299536277165101,True,0.7599321920001785,1.5295788693269865,6.0,21970.0
364,pair_364.npz,sagereg_regen,2000,0.065,0.1254698313530937,0.0206820299353217,True,0.7020868909999081,1.4045142993244395,5.0,19472.0
365,pair_365.npz,sagereg_regen,2000,0.0795,0.0794897725572987,0.050944208834162,True,0.7272323649999635,1.7185631555883487,3.0,23528.0
366,pair_366.npz,sagereg_regen,2000,0.0905,0.0738159676110634,0.0275083186649405,True,0.7786941759995898,1.436261348776184,6.0,24408.0
367,pair_367.npz,sagereg_regen,2000,0.0755,0.122360013412252,0.0155072863219671,True,0.7333454499994332,1.3286997112258816,2.0,24903.0
368,pair_368.npz,sagereg_regen,2000,0.0945,0.1443047993504575,0.0336852933365946,True,0.772152938000545,1.4879035327925063,4.0,24149.0
369,pair_369.npz,sagereg_regen,2000,0.083,0.0,0.0317114338283764,True,0.8099925160004204,1.6262108422235455,5.0,27245.0
370,pair_370.npz,sagereg_regen,2000,0.0395,0.0481513864745144,0.0281763593159125,True,0.8270485229995757,1.7271950326740388,4.0,32033.0
371,pair_371.npz,sagereg_regen,2000,0.048,0.0842727038090526,0.0279774225344857,True,0.7837933850005356,1.7171388520769488,3.0,32922.0
372,pair_372.npz,sagereg_regen,2000,0.05,0.0386900830634854,0.0216845851599899,True,0.7574352529995849,1.6074737547127869,4.0,31733.0
373,pair_373.npz,sagereg_regen,2000,0.0515,0.1054452074601672,0.0380173996861643,True,0.7277315219998854,1.4021282675737117,4.0,29094.0
374,pair_374.npz,sagereg_regen,2000,0.0495,0.1291803191732404,0.0211173991718814,True,0.7318612469998698,1.2995078481366922,3.0,26569.0
375,pair_375.npz,sagereg_regen,2000,0.0725,0.0745394479013756,0.0192122371942538,True,0.8054505990003236,1.4563062853385007,5.0,28152.0
376,pair_376.npz,sagereg_regen,2000,0.077,0.0688017488681339,0.0160839119924459,True,0.8157942939997156,1.548635880515031,5.0,28327.0
377,pair_377.npz,sagereg_regen,2000,0.068,0.0417048137464992,0.0248721717359862,True,0.7459995369999888,1.2989551993298205,4.0,26857.0
378,pair_378.npz,sagereg_regen,2000,0.081,0.0568376840449805,0.0212721036710034,True,0.7938527749997775,1.4421028718052236,3.0,25408.0
379,pair_379.npz,sagereg_regen,2000,0.077,0.1185785360071334,0.0162302332465376,True,0.7760146549999263,1.5815838355460448,3.0,25824.0
380,pair_380.npz,sagereg_regen,2000,0.049,0.0759802534427086,0.0157727625236263,True,0.7849343939997198,1.2159886960724038,6.0,24221.0
381,pair_381.npz,sagereg_regen,2000,0.109,0.0619400891816823,0.0246506472406492,True,0.7748249629999009,1.503145548799154,4.0,24866.0
382,pair_382.npz,sagereg_regen,2000,0.0935,0.1459901451958916,0.015219708623546,True,0.7929161739998563,1.4638470102958552,5.0,24011.0
383,pair_383.npz,sagereg_regen,2000,0.103,0.0743928322889441,0.0330251559552139,True,0.7529776769997625,1.4921470926132103,3.0,23270.0
