pair_index,variant,rotation_error_deg,translation_error,success,runtime_seconds
176,base,2.4090973205379793,0.09073073082383465,True,0.3179907949961489
176,seeds_48,2.4090973205379793,0.09073073082383465,True,0.17419978600082686
176,seeds_72,2.4090973205379793,0.09073073082383465,True,0.24341166999511188
176,seeds_120,2.4090973205379793,0.09073073082383465,True,0.40103455799544463
176,neighbors_24,10.542502006093843,0.16741194578235474,True,0.22685359400202287
176,neighbors_36,9.379138989316855,0.1477700879739928,True,0.27275071300391573
176,neighbors_72,2.4090856404327385,0.09072901512733182,True,0.3763607610017061
176,hypotheses_5,2.4090973205379793,0.09073073082383465,True,0.31166416199994273
176,hypotheses_10,2.4090973205379793,0.09073073082383465,True,0.3131105690044933
176,hypotheses_30,2.4090973205379793,0.09073073082383465,True,0.3215298320064903
176,motif_0,2.4090936171137396,0.09073059276669833,True,0.29059321899694623
176,motif_075,2.4090960933974905,0.09073067485230354,True,0.3144981329969596
176,motif_225,2.4091032052209673,0.09073144573445727,True,0.31672292800067225
192,base,2.702223571489823,0.06858339992689036,True,0.12712472600105684
192,seeds_48,2.3271806172276355,0.06887012212832905,True,0.07317039899498923
192,seeds_72,2.702223571489823,0.06858339992689036,True,0.10461699200095609
192,seeds_120,2.702223571489823,0.06858339992689036,True,0.14949580900429282
192,neighbors_24,2.701281570749714,0.06857431097366505,True,0.11507394000364002
192,neighbors_36,2.701798579322806,0.0685791284636911,True,0.12355503199796658
192,neighbors_72,2.7011005304416695,0.06857258215196141,True,0.12729972600209294
192,hypotheses_5,2.702223571489823,0.06858339992689036,True,0.12163478500588099
192,hypotheses_10,2.702223571489823,0.06858339992689036,True,0.12315765699895564
192,hypotheses_30,2.702223571489823,0.06858339992689036,True,0.12972145800449653
192,motif_0,2.3273753373813646,0.06887097351407352,True,0.12008747299842071
192,motif_075,2.702221627375711,0.06858338124078521,True,0.1260871220001718
192,motif_225,2.704386246064847,0.06860409261733864,True,0.12645274700480513
208,base,106.60396125640212,2.574797248952074,False,0.27728033900348237
208,seeds_48,106.60396125640212,2.574797248952074,False,0.14756894699530676
208,seeds_72,106.60396125640212,2.574797248952074,False,0.20840122899971902
208,seeds_120,106.61591878196263,2.575198228967143,False,0.3569495569972787
208,neighbors_24,95.47341906316485,2.1520291454514937,False,0.20541587900515879
208,neighbors_36,105.93797907804091,2.546561780848294,False,0.24544204599806108
208,neighbors_72,106.0393875673421,2.5576013175314136,False,0.334395414996834
208,hypotheses_5,106.60396125640212,2.574797248952074,False,0.2717502039959072
208,hypotheses_10,106.60396125640212,2.574797248952074,False,0.2740198780011269
208,hypotheses_30,106.60396125640212,2.574797248952074,False,0.281858711001405
208,motif_0,106.61592527551166,2.575198430172656,False,0.25735817499662517
208,motif_075,106.61592070233667,2.5751982877893234,False,0.2781863440031884
208,motif_225,106.61328761272294,2.5751192956653655,False,0.2800311429964495
224,base,57.477405320365584,0.8594387806267418,False,0.21142438999959268
224,seeds_48,57.477405320365584,0.8594387806267418,False,0.10984467300295364
224,seeds_72,57.477405320365584,0.8594387806267418,False,0.15644217500084778
224,seeds_120,57.477405320365584,0.8594387806267418,False,0.2566736260050675
224,neighbors_24,57.469938615725304,0.8592929947189372,False,0.165370372000325
224,neighbors_36,84.83720823216974,3.443812899978066,False,0.18981024499953492
224,neighbors_72,120.77899914160739,3.1395870699068764,False,0.22693901500315405
224,hypotheses_5,84.83583365048732,3.4438067794800666,False,0.2043719430002966
224,hypotheses_10,84.83583365048732,3.4438067794800666,False,0.20657070699962787
